"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1,A2,D17,D21,R42,R135,S1,S2","8","10k","","","","Potentiometer_THT:Potentiometer_Bourns_PTA6043_Single_Slide",""
"ADJ_TUNE1,ADJ_TUNE2,ADJ_TUNE3","3","1k","","","","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical",""
"AUDIO_OUT(3.5mm)1,CV_IN5,FM_IN3,PWM_IN1,PWM_IN2,PWM_IN3","6","AudioJack2_Ground_Switch","","","","AUDIOJACKS:Jack_3.5mm_Cliff_FCR1281_Horizontal",""
"C1,C10,C15","3","2.2nF","","","","Capacitor_THT:C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4",""
"C2,C11,C16","3","1uF","","","","Capacitor_THT:C_Rect_L7.2mm_W5.0mm_P5.00mm",""
"C3,C4,C5,C8,C9,C12,C13,C14,C17,C18,C19,C20,C21,C28,C29,C31,C32,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44","27","0.1uF","","","","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"C6,C7","2","47uF","","","","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm",""
"C22,C30,C45","3","1uF","","","","",""
"C23,C24,C25,C26,C27","5","1nF","","","","",""
"C33","1","0.33uF","","","","",""
"C34","1","0.1uF","","","","",""
"COARSE1,COARSE2,COARSE3,CUTOFF1,FINE1,FINE2,FINE3,OFFSET1,PWM1,PWM2,PWM3,RESO1,SOFTCLIP1,VCO1,VCO2,VCO3,VCO5,VCO6","18","100k","","","","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Vertical",""
"D1,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16","14","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D2,D3,D18,D19,D20","5","SB140","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.diodes.com/_files/datasheets/ds23022.pdf"
"FM_LVL3","1","1M","","","","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Vertical",""
"J1","1","DC_IN","","","","TerminalBlock_RND:TerminalBlock_RND_205-00288_1x03_P5.08mm_Horizontal",""
"J2","1","USB_B","","","","",""
"J3","1","AUDIO_OUT(6.35mm)","","","","",""
